作物1,作物2
黄豆,黑豆
黄豆,红豆
黄豆,绿豆
黄豆,爬豆
黄豆,小麦
黄豆,玉米
黄豆,谷子
黄豆,高粱
黄豆,黍子
黄豆,荞麦
黄豆,南瓜
黄豆,红薯
黄豆,莜麦
黄豆,大麦
黄豆,水稻
黄豆,豇豆
黄豆,刀豆
黄豆,芸豆
黄豆,土豆
黄豆,西红柿
黄豆,茄子
黄豆,菠菜
黄豆,青椒
黄豆,菜花
黄豆,包菜
黄豆,油麦菜
黄豆,小青菜
黄豆,黄瓜
黄豆,生菜
黄豆,辣椒
黄豆,空心菜
黄豆,黄心菜
黄豆,芹菜
黄豆,大白菜
黄豆,白萝卜
黄豆,红萝卜
黄豆,榆黄菇
黄豆,香菇
黄豆,白灵菇
黄豆,羊肚菌
黑豆,红豆
黑豆,绿豆
黑豆,爬豆
黑豆,小麦
黑豆,玉米
黑豆,谷子
黑豆,高粱
黑豆,黍子
黑豆,荞麦
黑豆,南瓜
黑豆,红薯
黑豆,莜麦
黑豆,大麦
黑豆,水稻
黑豆,豇豆
黑豆,刀豆
黑豆,芸豆
黑豆,土豆
黑豆,西红柿
黑豆,茄子
黑豆,菠菜
黑豆,青椒
黑豆,菜花
黑豆,包菜
黑豆,油麦菜
黑豆,小青菜
黑豆,黄瓜
黑豆,生菜
黑豆,辣椒
黑豆,空心菜
黑豆,黄心菜
黑豆,芹菜
黑豆,大白菜
黑豆,白萝卜
黑豆,红萝卜
黑豆,榆黄菇
黑豆,香菇
黑豆,白灵菇
黑豆,羊肚菌
红豆,绿豆
红豆,爬豆
红豆,小麦
红豆,玉米
红豆,谷子
红豆,高粱
红豆,黍子
红豆,荞麦
红豆,南瓜
红豆,红薯
红豆,莜麦
红豆,大麦
红豆,水稻
红豆,豇豆
红豆,刀豆
红豆,芸豆
红豆,土豆
红豆,西红柿
红豆,茄子
红豆,菠菜
红豆,青椒
红豆,菜花
红豆,包菜
红豆,油麦菜
红豆,小青菜
红豆,黄瓜
红豆,生菜
红豆,辣椒
红豆,空心菜
红豆,黄心菜
红豆,芹菜
红豆,大白菜
红豆,白萝卜
红豆,红萝卜
红豆,榆黄菇
红豆,香菇
红豆,白灵菇
红豆,羊肚菌
绿豆,爬豆
绿豆,小麦
绿豆,玉米
绿豆,谷子
绿豆,高粱
绿豆,黍子
绿豆,荞麦
绿豆,南瓜
绿豆,红薯
绿豆,莜麦
绿豆,大麦
绿豆,水稻
绿豆,豇豆
绿豆,刀豆
绿豆,芸豆
绿豆,土豆
绿豆,西红柿
绿豆,茄子
绿豆,菠菜
绿豆,青椒
绿豆,菜花
绿豆,包菜
绿豆,油麦菜
绿豆,小青菜
绿豆,黄瓜
绿豆,生菜
绿豆,辣椒
绿豆,空心菜
绿豆,黄心菜
绿豆,芹菜
绿豆,大白菜
绿豆,白萝卜
绿豆,红萝卜
绿豆,榆黄菇
绿豆,香菇
绿豆,白灵菇
绿豆,羊肚菌
爬豆,小麦
爬豆,玉米
爬豆,谷子
爬豆,高粱
爬豆,黍子
爬豆,荞麦
爬豆,南瓜
爬豆,红薯
爬豆,莜麦
爬豆,大麦
爬豆,水稻
爬豆,豇豆
爬豆,刀豆
爬豆,芸豆
爬豆,土豆
爬豆,西红柿
爬豆,茄子
爬豆,菠菜
爬豆,青椒
爬豆,菜花
爬豆,包菜
爬豆,油麦菜
爬豆,小青菜
爬豆,黄瓜
爬豆,生菜
爬豆,辣椒
爬豆,空心菜
爬豆,黄心菜
爬豆,芹菜
爬豆,大白菜
爬豆,白萝卜
爬豆,红萝卜
爬豆,榆黄菇
爬豆,香菇
爬豆,白灵菇
爬豆,羊肚菌
小麦,玉米
小麦,谷子
小麦,高粱
小麦,黍子
小麦,荞麦
小麦,南瓜
小麦,红薯
小麦,莜麦
小麦,大麦
小麦,水稻
小麦,豇豆
小麦,刀豆
小麦,芸豆
小麦,土豆
小麦,西红柿
小麦,茄子
小麦,菠菜
小麦,青椒
小麦,菜花
小麦,包菜
小麦,油麦菜
小麦,小青菜
小麦,黄瓜
小麦,生菜
小麦,辣椒
小麦,空心菜
小麦,黄心菜
小麦,芹菜
小麦,大白菜
小麦,白萝卜
小麦,红萝卜
小麦,榆黄菇
小麦,香菇
小麦,白灵菇
小麦,羊肚菌
玉米,谷子
玉米,高粱
玉米,黍子
玉米,荞麦
玉米,南瓜
玉米,红薯
玉米,莜麦
玉米,大麦
玉米,水稻
玉米,豇豆
玉米,刀豆
玉米,芸豆
玉米,土豆
玉米,西红柿
玉米,茄子
玉米,菠菜
玉米,青椒
玉米,菜花
玉米,包菜
玉米,油麦菜
玉米,小青菜
玉米,黄瓜
玉米,生菜
玉米,辣椒
玉米,空心菜
玉米,黄心菜
玉米,芹菜
玉米,大白菜
玉米,白萝卜
玉米,红萝卜
玉米,榆黄菇
玉米,香菇
玉米,白灵菇
玉米,羊肚菌
谷子,高粱
谷子,黍子
谷子,荞麦
谷子,南瓜
谷子,红薯
谷子,莜麦
谷子,大麦
谷子,水稻
谷子,豇豆
谷子,刀豆
谷子,芸豆
谷子,土豆
谷子,西红柿
谷子,茄子
谷子,菠菜
谷子,青椒
谷子,菜花
谷子,包菜
谷子,油麦菜
谷子,小青菜
谷子,黄瓜
谷子,生菜
谷子,辣椒
谷子,空心菜
谷子,黄心菜
谷子,芹菜
谷子,大白菜
谷子,白萝卜
谷子,红萝卜
谷子,榆黄菇
谷子,香菇
谷子,白灵菇
谷子,羊肚菌
高粱,黍子
高粱,荞麦
高粱,南瓜
高粱,红薯
高粱,莜麦
高粱,大麦
高粱,水稻
高粱,豇豆
高粱,刀豆
高粱,芸豆
高粱,土豆
高粱,西红柿
高粱,茄子
高粱,菠菜
高粱,青椒
高粱,菜花
高粱,包菜
高粱,油麦菜
高粱,小青菜
高粱,黄瓜
高粱,生菜
高粱,辣椒
高粱,空心菜
高粱,黄心菜
高粱,芹菜
高粱,大白菜
高粱,白萝卜
高粱,红萝卜
高粱,榆黄菇
高粱,香菇
高粱,白灵菇
高粱,羊肚菌
黍子,荞麦
黍子,南瓜
黍子,红薯
黍子,莜麦
黍子,大麦
黍子,水稻
黍子,豇豆
黍子,刀豆
黍子,芸豆
黍子,土豆
黍子,西红柿
黍子,茄子
黍子,菠菜
黍子,青椒
黍子,菜花
黍子,包菜
黍子,油麦菜
黍子,小青菜
黍子,黄瓜
黍子,生菜
黍子,辣椒
黍子,空心菜
黍子,黄心菜
黍子,芹菜
黍子,大白菜
黍子,白萝卜
黍子,红萝卜
黍子,榆黄菇
黍子,香菇
黍子,白灵菇
黍子,羊肚菌
荞麦,南瓜
荞麦,红薯
荞麦,莜麦
荞麦,大麦
荞麦,水稻
荞麦,豇豆
荞麦,刀豆
荞麦,芸豆
荞麦,土豆
荞麦,西红柿
荞麦,茄子
荞麦,菠菜
荞麦,青椒
荞麦,菜花
荞麦,包菜
荞麦,油麦菜
荞麦,小青菜
荞麦,黄瓜
荞麦,生菜
荞麦,辣椒
荞麦,空心菜
荞麦,黄心菜
荞麦,芹菜
荞麦,大白菜
荞麦,白萝卜
荞麦,红萝卜
荞麦,榆黄菇
荞麦,香菇
荞麦,白灵菇
荞麦,羊肚菌
南瓜,红薯
南瓜,莜麦
南瓜,大麦
南瓜,水稻
南瓜,豇豆
南瓜,刀豆
南瓜,芸豆
南瓜,土豆
南瓜,西红柿
南瓜,茄子
南瓜,菠菜
南瓜,青椒
南瓜,菜花
南瓜,包菜
南瓜,油麦菜
南瓜,小青菜
南瓜,黄瓜
南瓜,生菜
南瓜,辣椒
南瓜,空心菜
南瓜,黄心菜
南瓜,芹菜
南瓜,大白菜
南瓜,白萝卜
南瓜,红萝卜
南瓜,榆黄菇
南瓜,香菇
南瓜,白灵菇
南瓜,羊肚菌
红薯,莜麦
红薯,大麦
红薯,水稻
红薯,豇豆
红薯,刀豆
红薯,芸豆
红薯,土豆
红薯,西红柿
红薯,茄子
红薯,菠菜
红薯,青椒
红薯,菜花
红薯,包菜
红薯,油麦菜
红薯,小青菜
红薯,黄瓜
红薯,生菜
红薯,辣椒
红薯,空心菜
红薯,黄心菜
红薯,芹菜
红薯,大白菜
红薯,白萝卜
红薯,红萝卜
红薯,榆黄菇
红薯,香菇
红薯,白灵菇
红薯,羊肚菌
莜麦,大麦
莜麦,水稻
莜麦,豇豆
莜麦,刀豆
莜麦,芸豆
莜麦,土豆
莜麦,西红柿
莜麦,茄子
莜麦,菠菜
莜麦,青椒
莜麦,菜花
莜麦,包菜
莜麦,油麦菜
莜麦,小青菜
莜麦,黄瓜
莜麦,生菜
莜麦,辣椒
莜麦,空心菜
莜麦,黄心菜
莜麦,芹菜
莜麦,大白菜
莜麦,白萝卜
莜麦,红萝卜
莜麦,榆黄菇
莜麦,香菇
莜麦,白灵菇
莜麦,羊肚菌
大麦,水稻
大麦,豇豆
大麦,刀豆
大麦,芸豆
大麦,土豆
大麦,西红柿
大麦,茄子
大麦,菠菜
大麦,青椒
大麦,菜花
大麦,包菜
大麦,油麦菜
大麦,小青菜
大麦,黄瓜
大麦,生菜
大麦,辣椒
大麦,空心菜
大麦,黄心菜
大麦,芹菜
大麦,大白菜
大麦,白萝卜
大麦,红萝卜
大麦,榆黄菇
大麦,香菇
大麦,白灵菇
大麦,羊肚菌
水稻,豇豆
水稻,刀豆
水稻,芸豆
水稻,土豆
水稻,西红柿
水稻,茄子
水稻,菠菜
水稻,青椒
水稻,菜花
水稻,包菜
水稻,油麦菜
水稻,小青菜
水稻,黄瓜
水稻,生菜
水稻,辣椒
水稻,空心菜
水稻,黄心菜
水稻,芹菜
水稻,大白菜
水稻,白萝卜
水稻,红萝卜
水稻,榆黄菇
水稻,香菇
水稻,白灵菇
水稻,羊肚菌
豇豆,刀豆
豇豆,芸豆
豇豆,土豆
豇豆,西红柿
豇豆,茄子
豇豆,菠菜
豇豆,青椒
豇豆,菜花
豇豆,包菜
豇豆,油麦菜
豇豆,小青菜
豇豆,黄瓜
豇豆,生菜
豇豆,辣椒
豇豆,空心菜
豇豆,黄心菜
豇豆,芹菜
豇豆,大白菜
豇豆,白萝卜
豇豆,红萝卜
豇豆,榆黄菇
豇豆,香菇
豇豆,白灵菇
豇豆,羊肚菌
刀豆,芸豆
刀豆,土豆
刀豆,西红柿
刀豆,茄子
刀豆,菠菜
刀豆,青椒
刀豆,菜花
刀豆,包菜
刀豆,油麦菜
刀豆,小青菜
刀豆,黄瓜
刀豆,生菜
刀豆,辣椒
刀豆,空心菜
刀豆,黄心菜
刀豆,芹菜
刀豆,大白菜
刀豆,白萝卜
刀豆,红萝卜
刀豆,榆黄菇
刀豆,香菇
刀豆,白灵菇
刀豆,羊肚菌
芸豆,土豆
芸豆,西红柿
芸豆,茄子
芸豆,菠菜
芸豆,青椒
芸豆,菜花
芸豆,包菜
芸豆,油麦菜
芸豆,小青菜
芸豆,黄瓜
芸豆,生菜
芸豆,辣椒
芸豆,空心菜
芸豆,黄心菜
芸豆,芹菜
芸豆,大白菜
芸豆,白萝卜
芸豆,红萝卜
芸豆,榆黄菇
芸豆,香菇
芸豆,白灵菇
芸豆,羊肚菌
土豆,西红柿
土豆,茄子
土豆,菠菜
土豆,青椒
土豆,菜花
土豆,包菜
土豆,油麦菜
土豆,小青菜
土豆,黄瓜
土豆,生菜
土豆,辣椒
土豆,空心菜
土豆,黄心菜
土豆,芹菜
土豆,大白菜
土豆,白萝卜
土豆,红萝卜
土豆,榆黄菇
土豆,香菇
土豆,白灵菇
土豆,羊肚菌
西红柿,茄子
西红柿,菠菜
西红柿,青椒
西红柿,菜花
西红柿,包菜
西红柿,油麦菜
西红柿,小青菜
西红柿,黄瓜
西红柿,生菜
西红柿,辣椒
西红柿,空心菜
西红柿,黄心菜
西红柿,芹菜
西红柿,大白菜
西红柿,白萝卜
西红柿,红萝卜
西红柿,榆黄菇
西红柿,香菇
西红柿,白灵菇
西红柿,羊肚菌
茄子,菠菜
茄子,青椒
茄子,菜花
茄子,包菜
茄子,油麦菜
茄子,小青菜
茄子,黄瓜
茄子,生菜
茄子,辣椒
茄子,空心菜
茄子,黄心菜
茄子,芹菜
茄子,大白菜
茄子,白萝卜
茄子,红萝卜
茄子,榆黄菇
茄子,香菇
茄子,白灵菇
茄子,羊肚菌
菠菜,青椒
菠菜,菜花
菠菜,包菜
菠菜,油麦菜
菠菜,小青菜
菠菜,黄瓜
菠菜,生菜
菠菜,辣椒
菠菜,空心菜
菠菜,黄心菜
菠菜,芹菜
菠菜,大白菜
菠菜,白萝卜
菠菜,红萝卜
菠菜,榆黄菇
菠菜,香菇
菠菜,白灵菇
菠菜,羊肚菌
青椒,菜花
青椒,包菜
青椒,油麦菜
青椒,小青菜
青椒,黄瓜
青椒,生菜
青椒,辣椒
青椒,空心菜
青椒,黄心菜
青椒,芹菜
青椒,大白菜
青椒,白萝卜
青椒,红萝卜
青椒,榆黄菇
青椒,香菇
青椒,白灵菇
青椒,羊肚菌
菜花,包菜
菜花,油麦菜
菜花,小青菜
菜花,黄瓜
菜花,生菜
菜花,辣椒
菜花,空心菜
菜花,黄心菜
菜花,芹菜
菜花,大白菜
菜花,白萝卜
菜花,红萝卜
菜花,榆黄菇
菜花,香菇
菜花,白灵菇
菜花,羊肚菌
包菜,油麦菜
包菜,小青菜
包菜,黄瓜
包菜,生菜
包菜,辣椒
包菜,空心菜
包菜,黄心菜
包菜,芹菜
包菜,大白菜
包菜,白萝卜
包菜,红萝卜
包菜,榆黄菇
包菜,香菇
包菜,白灵菇
包菜,羊肚菌
油麦菜,小青菜
油麦菜,黄瓜
油麦菜,生菜
油麦菜,辣椒
油麦菜,空心菜
油麦菜,黄心菜
油麦菜,芹菜
油麦菜,大白菜
油麦菜,白萝卜
油麦菜,红萝卜
油麦菜,榆黄菇
油麦菜,香菇
油麦菜,白灵菇
油麦菜,羊肚菌
小青菜,黄瓜
小青菜,生菜
小青菜,辣椒
小青菜,空心菜
小青菜,黄心菜
小青菜,芹菜
小青菜,大白菜
小青菜,白萝卜
小青菜,红萝卜
小青菜,榆黄菇
小青菜,香菇
小青菜,白灵菇
小青菜,羊肚菌
黄瓜,生菜
黄瓜,辣椒
黄瓜,空心菜
黄瓜,黄心菜
黄瓜,芹菜
黄瓜,大白菜
黄瓜,白萝卜
黄瓜,红萝卜
黄瓜,榆黄菇
黄瓜,香菇
黄瓜,白灵菇
黄瓜,羊肚菌
生菜,辣椒
生菜,空心菜
生菜,黄心菜
生菜,芹菜
生菜,大白菜
生菜,白萝卜
生菜,红萝卜
生菜,榆黄菇
生菜,香菇
生菜,白灵菇
生菜,羊肚菌
辣椒,空心菜
辣椒,黄心菜
辣椒,芹菜
辣椒,大白菜
辣椒,白萝卜
辣椒,红萝卜
辣椒,榆黄菇
辣椒,香菇
辣椒,白灵菇
辣椒,羊肚菌
空心菜,黄心菜
空心菜,芹菜
空心菜,大白菜
空心菜,白萝卜
空心菜,红萝卜
空心菜,榆黄菇
空心菜,香菇
空心菜,白灵菇
空心菜,羊肚菌
黄心菜,芹菜
黄心菜,大白菜
黄心菜,白萝卜
黄心菜,红萝卜
黄心菜,榆黄菇
黄心菜,香菇
黄心菜,白灵菇
黄心菜,羊肚菌
芹菜,大白菜
芹菜,白萝卜
芹菜,红萝卜
芹菜,榆黄菇
芹菜,香菇
芹菜,白灵菇
芹菜,羊肚菌
大白菜,白萝卜
大白菜,红萝卜
大白菜,榆黄菇
大白菜,香菇
大白菜,白灵菇
大白菜,羊肚菌
白萝卜,红萝卜
白萝卜,榆黄菇
白萝卜,香菇
白萝卜,白灵菇
白萝卜,羊肚菌
红萝卜,榆黄菇
红萝卜,香菇
红萝卜,白灵菇
红萝卜,羊肚菌
榆黄菇,香菇
榆黄菇,白灵菇
榆黄菇,羊肚菌
香菇,白灵菇
香菇,羊肚菌
白灵菇,羊肚菌
